"denominación";"dirección";"distrito.postal";"localidad";"provincia";"ccaa";"país";"teléfono";"fax";"correo.electrónico";"dir";"request";"lon";"lat";"address"
"Biblioteca Pública Municipal de Xilxes";"Avda. Jaume I, 6";"12592";"Chilches/Xilxes";"Castellon";"Comunidad Valenciana";"Spain";"964 58 33 70";"964 59 04 25";"biblioteca@xilxes.es";"Avda. Jaume I  6";"Avda. Jaume I  6,12592,Chilches/Xilxes,Castellon,Spain";-0.1904906;39.7801486;"avenida jaime i, 6, 12592 chilches, castellón, spain"
"Agencia de Lectura Municipal de Cirat";"c/ San Bernardo, 1";"12231";"Cirat";"Castellon";"Comunidad Valenciana";"Spain";"964 14 31 13";"964 14 32 40";"juancirat@hotmail.com";"c/ San Bernardo  1";"c/ San Bernardo  1,12231,Cirat,Castellon,Spain";-0.4630188;40.0552652;"plaza san bernardo, 1, 12231 cirat, castellón, spain"
"Agencia de Lectura Municipal de Cortes de Arenoso";"c/ Mayor , 1";"12127";"Cortes de Arenoso";"Castellon";"Comunidad Valenciana";"Spain";"964 38 31 10";"967 38 30 25";"info@cortesdearenoso.es";"c/ Mayor  1";"c/ Mayor  1,12127,Cortes de Arenoso,Castellon,Spain";-0.5014;40.13816;"calle mayor, 1, 12126 san vicente de piedrahita, castellón, spain"
"Agencia de Lectura Municipal de Costur";"Plz. Església, 7";"12119";"Costur";"Castellon";"Comunidad Valenciana";"Spain";"964 38 80 13";"964 38 84 63";"costur_sec@gva.es";"Plz. Església  7";"Plz. Esglesia  7,12119,Costur,Castellon,Spain";-0.1736111;40.1205189;"calle iglesia, 7, 12119 costur, castellón, spain"
"Agencia de Lectura Municipal de El Toro";"c/ Valencia, s/n";"12429";"El Toro";"Castellon";"Comunidad Valenciana";"Spain";"964 12 30 01";"964 12 30 42";"eltoro.secretaria@cv.gva.es";"c/ Valencia  s/n";"c/ Valencia  s/n,12429,El Toro,Castellon,Spain";-0.7491223;39.9820316;"12429 el toro, castellón, spain"
"Agencia de Lectura Municipal de Eslida";"c/ Princep Felip , 49";"12528";"Eslida";"Castellon";"Comunidad Valenciana";"Spain";"964 62 80 00 (Ayuntamiento)";"964 62 80 25 (Ayuntamiento)";"";"c/ Princep Felip  49";"c/ Princep Felip  49,12528,Eslida,Castellon,Spain";-0.3070386;39.8818176;"carrer del príncep felip, 49, 12528 eslida, castellón, spain"
"Agencia de Lectura Municipal de Fanzara";"Plz. Obispo Granell, 1";"12230";"Fanzara";"Castellon";"Comunidad Valenciana";"Spain";"964 61 90 01";"964 61 90 09";"fanzara_alc@gva.es";"Plz. Obispo Granell  1";"Plz. Obispo Granell  1,12230,Fanzara,Castellon,Spain";-0.3156571;40.0191705;"plaza obispo granell, 1, 12230 fanzara, castellón, spain"
"Agencia de Lectura Municipal de Figueroles";"Plz. de la Iglesia , 1";"12122";"Figueroles";"Castellon";"Comunidad Valenciana";"Spain";"964 38 15 73";"964 38 16 33";"figueroles_ayt@gva.es";"Plz. de la Iglesia  1";"Plz. de la Iglesia  1,12122,Figueroles,Castellon,Spain";-0.2380185;40.1176359;"plaza iglesia, 12122 figueroles, castellón, spain"
"Agencia de Lectura Municipal de Forcall";"Plz. Mayor, 13";"12310";"Forcall";"Castellon";"Comunidad Valenciana";"Spain";"964 17 10 01";"964 17 10 01";"aguelota@yahoo.es";"Plz. Mayor  13";"Plz. Mayor  13,12310,Forcall,Castellon,Spain";-0.1995055;40.6458135;"plaza mayor, 13, 12310 forcall, castellón, spain"
"Agencia de Lectura Municipal de Fuentes de Ayódar";"Plz. Salvador Segarra, 15";"12225";"Fuentes de Ayódar";"Castellon";"Comunidad Valenciana";"Spain";"964 61 80 34";"964 61 80 85";"";"Plz. Salvador Segarra  15";"Plz. Salvador Segarra  15,12225,Fuentes de Ayodar,Castellon,Spain";-0.4204714;40.021206;"12225 fuentes de ayódar, castellón, spain"
"Agencia de Lectura Municipal de Geldo";"Avda. Castellón, 18";"12412";"Geldo";"Castellon";"Comunidad Valenciana";"Spain";"964 71 12 09";"964 71 12 09";"";"Avda. Castellón  18";"Avda. Castellon  18,12412,Geldo,Castellon,Spain";-0.4675172;39.8355379;"avenida castellón, 18, 12412 geldo, castellón, spain"
"Agencia de Lectura Municipal de Jérica";"c/ del Río, 2";"12450";"Jérica";"Castellon";"Comunidad Valenciana";"Spain";"964 12 91 73";"964 12 90 45";"biblioteca@jerica.es";"c/ del Río  2";"c/ del Rio  2,12450,Jerica,Castellon,Spain";-0.5727979;39.9123921;"calle río, 2, 12450 jérica, castellón, spain"
"Biblioteca Pública Municipal de L'Alcora";"c/ Agua, 6";"12110";"L' Alcora";"Castellon";"Comunidad Valenciana";"Spain";"964 36 73 22";"964 38 64 55";"biblioteca@alcora.org";"c/ Agua  6";"c/ Agua  6,12110,L' Alcora,Castellon,Spain";-0.21161;40.0768;"calle agua, 6, 12110 l'alcora, castellón, spain"
"Biblioteca Escolar Pública de La Jana";"c/ Escoles, 1";"12340";"La Jana";"Castellon";"Comunidad Valenciana";"Spain";"964 49 71 30";"";"ajuntament@lajana.net";"c/ Escoles  1";"c/ Escoles  1,12340,La Jana,Castellon,Spain";0.2528431;40.5112382;"carrer de les escoles, 1, 12340 la jana, castellón, spain"
"Agencia de Lectura Municipal La Llosa";"Plz. de España, 3";"12591";"La Llosa";"Castellon";"Comunidad Valenciana";"Spain";"962 61 05 42";"";"ayuntamiento@lallosa.es";"Plz. de España  3";"Plz. de Espana  3,12591,La Llosa,Castellon,Spain";-0.2069668;39.7688664;"plaza de españa, 3, 12591 la llosa, castellón, spain"
"Agencia de Lectura Municipal de La Pobla Tornesa";"c/ Enmig, 2";"12191";"La Pobla Tornesa";"Castellon";"Comunidad Valenciana";"Spain";"964 33 83 21";"964 33 80 03";"bibliopobla@gmail.com";"c/ Enmig  2";"c/ Enmig  2,12191,La Pobla Tornesa,Castellon,Spain";-0.0007328;40.1005932;"carrer d'enmig, 2, 12191 la pobla tornesa, castellón, spain"
"Agencia de Lectura Municipal de La Vall d'Uixó - Lleonard Mingarro";"Travesía de Albacete, s/n";"12600";"La Vall d'Uixó";"Castellon";"Comunidad Valenciana";"Spain";"964 69 67 41";"";"biblioteca@lavallduixo.es";"Travesía de Albacete  s/n";"Travesia de Albacete  s/n,12600,La Vall d'Uixo,Castellon,Spain";-0.222357;39.8271755;"travesía albacete travesía 2, 12600 la vall d'uixó, castellón, spain"
"Biblioteca Pública Municipal de La Vall d'Uixó - María Dolores García Sánchez";"Plz. Del Mercat, 2";"12600";"La Vall d'Uixó";"Castellon";"Comunidad Valenciana";"Spain";"964 69 65 36";"964 66 76 62";"biblioteca@lavallduixo.es";"Plz. Del Mercat  2";"Plz. Del Mercat  2,12600,La Vall d'Uixo,Castellon,Spain";-0.2265752;39.7531128;"plaça del mercat, 2, 12590 almenara, castellón, spain"
"Biblioteca Pública Municipal de La Vilavella";"c/ Santa Bárbara, 4 , 2º";"12526";"La Vilavella";"Castellon";"Comunidad Valenciana";"Spain";"964 67 74 48";"964 67 76 35";"biblioteca@lavilavella.es";"c/ Santa Bárbara  4 ";"c/ Santa Barbara  4 ,12526,La Vilavella,Castellon,Spain";-0.18959;39.85785;"urbanizacion santa barbara p, 4, 12526 la vilavella, castellón, spain"
"Agencia de Lectura Municipal de Les Coves de Vinromà - Joan Fuster";"Plz. Cervantes, s/n";"12185";"Les Coves de Vinromà";"Castellon";"Comunidad Valenciana";"Spain";"964 42 60 03";"964 42 60 02";"biblio1996@gmail.com";"Plz. Cervantes  s/n";"Plz. Cervantes  s/n,12185,Les Coves de Vinroma,Castellon,Spain";0.1193731;40.3113447;"plaza cervantes, 12185 les coves de vinromà, castellón, spain"
"Biblioteca Pública Municipal de Lucena del Cid";"Plz. de España, 22";"12120";"Lucena del Cid";"Castellon";"Comunidad Valenciana";"Spain";"964 38 00 01";"964 38 03 17";"aytolucena@terra.es";"Plz. de España  22";"Plz. de Espana  22,12120,Lucena del Cid,Castellon,Spain";-0.2802226;40.1379944;"plaza españa, 22, 12120 lucena del cid, castellón, spain"
"Agencia de Lectura Municipal de Moncofa";"Plz. De la Constitución, 5";"12593";"Moncofa";"Castellon";"Comunidad Valenciana";"Spain";"964 57 92 73";"964 58 03 48";"biblioteca@moncofa.com";"Plz. De la Constitución  5";"Plz. De la Constitucion  5,12593,Moncofa,Castellon,Spain";-0.1458286;39.8072967;"plaza constitución, 5, 12593 moncofa, castellón, spain"
"Agencia de Lectura Municipal de Montán";"Avda. Antonio Fornás, 10";"12447";"Montán";"Castellon";"Comunidad Valenciana";"Spain";"964 13 10 02 (Ayuntamiento)";"964 13 12 67 (Ayuntamiento)";"montan@fvmp.es";"Avda. Antonio Fornás  10";"Avda. Antonio Fornas  10,12447,Montan,Castellon,Spain";-0.5530699;40.0356;"avenida antonio fornas, 10, 12447 montán, castellón, spain"
"Biblioteca Pública de Morella";"c/ Colomer, 4, Bajo";"12300";"Morella";"Castellon";"Comunidad Valenciana";"Spain";"964 16 09 87";"";"";"c/ Colomer  4";"c/ Colomer  4,12300,Morella,Castellon,Spain";-0.1045821;40.6203691;"calle colomer, 4, 12300 morella, castellón, spain"
"Biblioteca del Decanato de Nules";"Avda. Marqués Santacruz, 15";"12520";"Nules";"Castellon";"Comunidad Valenciana";"Spain";"964 67 30 51";"";"palacios_manben@gva.es";"Avda. Marqués Santacruz  15";"Avda. Marques Santacruz  15,12520,Nules,Castellon,Spain";-0.156106;39.8571186;"avinguda marqués de santa cruz, 15, 12520 nules, castellón, spain"
"Biblioteca Pública Municipal de Nules";"c/ Mayor, 57";"12520";"Nules";"Castellon";"Comunidad Valenciana";"Spain";"964 67 06 35";"964 67 49 31";"biblioteca@nules.es";"c/ Mayor  57";"c/ Mayor  57,12520,Nules,Castellon,Spain";-0.1554681;39.8529511;"carrer major, 57, 12520 nules, castellón, spain"
"Biblioteca Pública Municipal de Onda";"c/ Balmes, 2";"12200";"Onda";"Castellon";"Comunidad Valenciana";"Spain";"964 77 11 93";"964 77 64 32";"biblioteca@onda.es";"c/ Balmes  2";"c/ Balmes  2,12200,Onda,Castellon,Spain";-0.267186;39.9634367;"calle balmes, 2, 12200 onda, castellón, spain"
"Agencia de Lectura Municipal de Oropesa del Mar";"c/ Velázquez, 45";"12594";"Oropesa del Mar/Orpesa";"Castellon";"Comunidad Valenciana";"Spain";"964 31 35 74";"";"biblioteca@oropesadelmar.es";"c/ Velázquez  45";"c/ Velazquez  45,12594,Oropesa del Mar/Orpesa,Castellon,Spain";0.1379735;40.0918153;"carrer de velázquez, 45, 12594 orpesa/oropesa del mar, castellón, spain"
"Biblioteca Pública Municipal de Peñíscola";"c/ del Mestre Bayarri, 2, 3º";"12598";"Peníscola/Peñíscola";"Castellon";"Comunidad Valenciana";"Spain";"964 47 78 00";"968 48 92 12";"biblioteca@peniscola.org";"c/ del Mestre Bayarri  2";"c/ del Mestre Bayarri  2,12598,Peniscola/Peniscola,Castellon,Spain";0.3913172;40.3668829;"peñíscola, castellón, spain"
"Agencia de Lectura Municipal de Ribesalbes";"c/ Castellón, 12";"12210";"Ribesalbes";"Castellon";"Comunidad Valenciana";"Spain";"964 62 50 01";"964 61 00 49";"biblioriber@hotmail.com";"c/ Castellón  12";"c/ Castellon  12,12210,Ribesalbes,Castellon,Spain";-0.2770307;40.0225709;"calle castellón, 12, 12210 ribesalbes, castellón, spain"
"Agencia de Lectura Municipal de Rossell";"c/ Placeta , 7, Centro Cívico Molí Vell";"12511";"Rossell";"Castellon";"Comunidad Valenciana";"Spain";"977 57 12 02";"977 57 13 82";"bibliotecarossell@hotmail.com";"c/ Placeta  7";"c/ Placeta  7,12511,Rossell,Castellon,Spain";0.2234602;40.6187347;"calle placeta, 7, 12511 rossell, castellón, spain"
"Agencia de Lectura Municipal de Sant Joan de Moró";"Plz. Joan Renau, s/n";"12130";"Sant Joan de Moró";"Castellon";"Comunidad Valenciana";"Spain";"964 70 11 00";"964 70 11 51";"bibliotecasjmoro@gmail.com";"Plz. Joan Renau  s/n";"Plz. Joan Renau  s/n,12130,Sant Joan de Moro,Castellon,Spain";-0.1373439;40.0606915;"plaça de joan renau, 12130 sant joan de moró, castellón, spain"
"Agencia de Lectura Municipal de Sant Mateu";"c/ Santo Domingo, 34, 1º";"12170";"Sant Mateu";"Castellon";"Comunidad Valenciana";"Spain";"964 15 60 22";"";"patronatcultura@santmateu.com";"c/ Santo Domingo  34";"c/ Santo Domingo  34,12170,Sant Mateu,Castellon,Spain";0.1814478;40.4657912;"carrer de sant domenech, 34, 12170 sant mateu, castellón, spain"
"Agencia de Lectura Municipal de Santa Magdalena de Pulpis";"Plz. España, 9";"12597";"Santa Magdalena de Pulpis";"Castellon";"Comunidad Valenciana";"Spain";"964 41 50 70 (Ayuntamiento)";"";"ayuntsantamagdalena@yahoo.es";"Plz. España  9";"Plz. Espana  9,12597,Santa Magdalena de Pulpis,Castellon,Spain";0.3028727;40.3563754;"plaça espanya, 9, 12597 santa magdalena de polpís, castellón, spain"
"Biblioteca-Archivo Capitular de la Catedral de Segorbe";"c/ San Cristóbal, 5";"12400";"Segorbe";"Castellon";"Comunidad Valenciana";"Spain";"964 71 38 23";"";"archivo@catedraldesegorbe.es";"c/ San Cristóbal  5";"c/ San Cristobal  5,12400,Segorbe,Castellon,Spain";-0.4884513;39.8526421;"calle san cristóbal, 5, 12400 segorbe, castellón, spain"
"Biblioteca Diocesana del Seminario de Segorbe";"c/ Valencia, 9";"12400";"Segorbe";"Castellon";"Comunidad Valenciana";"Spain";"964 71 01 00";"964 71 07 01";"sndiocesanav@planalfa.es";"c/ Valencia  9";"c/ Valencia  9,12400,Segorbe,Castellon,Spain";-0.4875999;39.8509447;"calle de valencia, 9, 12400 segorbe, castellón, spain"
"Biblioteca Pública Municipal de Segorbe - Obispo Juan Bautista Pérez";"c/ Cronista Jaime Faus, s/n";"12400";"Segorbe";"Castellon";"Comunidad Valenciana";"Spain";"964 71 37 51";"964 71 23 62";"centrocultural@segorbe.es";"c/ Cronista Jaime Faus  s/n";"c/ Cronista Jaime Faus  s/n,12400,Segorbe,Castellon,Spain";-0.4903524;39.8491635;"12400 segorbe, castellón, spain"
"Agencia de Lectura Municipal - Peñalba";"c/ Geldo, 5";"12414";"Segorbe";"Castellon";"Comunidad Valenciana";"Spain";"964 71 32 76";"";"";"c/ Geldo  5";"c/ Geldo  5,12414,Segorbe,Castellon,Spain";-0.4745822;39.8618662;"calle geldo, 5, 12400 segorbe, castellón, spain"
"Agencia de Lectura Municipal de Soneja";"c/ Mayor, 70";"12480";"Soneja";"Castellon";"Comunidad Valenciana";"Spain";"964 13 50 85";"964 13 55 13";"biblioteca@soneja.com";"c/ Mayor  70";"c/ Mayor  70,12480,Soneja,Castellon,Spain";-0.4309931;39.8150985;"calle mayor, 70, 12480 soneja, castellón, spain"
"Agencia de Lectura Municipal de Sot de Ferrer";"c/ Valencia, 41";"12489";"Sot de Ferrer";"Castellon";"Comunidad Valenciana";"Spain";"964 13 51 58";"964 13 51 27";"aytosot@hotmail.com";"c/ Valencia  41";"c/ Valencia  41,12489,Sot de Ferrer,Castellon,Spain";-0.409454;39.805838;"calle valencia, 41, 12489 sot de ferrer, castellón, spain"
"Biblioteca Escolar Pública de Sueras";"Avda. Jaume I, s/n";"12223";"Sueras/Suera";"Castellon";"Comunidad Valenciana";"Spain";"964 61 73 75";"964 61 72 55";"";"Avda. Jaume I  s/n";"Avda. Jaume I  s/n,12223,Sueras/Suera,Castellon,Spain";-0.3345269;39.9510469;"avenida jaime i, 1, 12223 suera, castellón, spain"
"Agencia de Lectura Municipal de Tales";"c/ Constitució, 1";"12221";"Tales";"Castellon";"Comunidad Valenciana";"Spain";"964 61 30 08";"964 61 30 08";"tales_paz@gva.es";"c/ Constitució  1";"c/ Constitucio  1,12221,Tales,Castellon,Spain";-0.3078675;39.9484558;"carrer constitució, 1, 12221 tales, castellón, spain"
"Agencia de Lectura Municipal de Torralba del Pinar";"c/ Horno, 13";"12225";"Torralba del Pinar";"Castellon";"Comunidad Valenciana";"Spain";"964 61 81 06";"964 61 82 33";"torralba_alc@gva.es";"c/ Horno  13";"c/ Horno  13,12225,Torralba del Pinar,Castellon,Spain";-0.4385221;39.9889524;"calle horno, 13, 12225 torralba del pinar, castellón, spain"
"Agencia de Lectura Municipal de Torreblanca";"Plz. San Bartolomé, 1";"12596";"Torreblanca";"Castellon";"Comunidad Valenciana";"Spain";"678 70 19 53";"964 42 01 25";"persiva_pel@gva.es";"Plz. San Bartolomé  1";"Plz. San Bartolome  1,12596,Torreblanca,Castellon,Spain";0.1950686;40.2212586;"plaza san bartolomé, 1, 12596 torreblanca, castellón, spain"
"Agencia de Lectura Municipal de Vall d'Alba";"Plz. Mayor, 2, 5º";"12194";"Vall d'Alba";"Castellon";"Comunidad Valenciana";"Spain";"964 32 00 01";"964 32 05 22";"valldalba_alc@gva.es";"Plz. Mayor  2";"Plz. Mayor  2,12194,Vall d'Alba,Castellon,Spain";-0.0635665;40.166228;"calle mayor, 2, 12194 la barona, castellón, spain"
"Centro de Internacional de Documentación Artística CIDA - Vicente Aguilera Cerni";"c/ Mestre Bernat, 14";"12192";"Vilafamés";"Castellon";"Comunidad Valenciana";"Spain";"964 33 51 29";"964 33 51 29";"cida@cidavilafames.es";"c/ Mestre Bernat  14";"c/ Mestre Bernat  14,12192,Vilafames,Castellon,Spain";-0.0539224;40.113509;"carrer mestre bernat, 14, 12192 vilafamés, castellón, spain"
"Biblioteca Pública Municipal de Vilafamés";"Avda. Barceló, 8";"12192";"Vilafamés";"Castellon";"Comunidad Valenciana";"Spain";"964 32 92 50";"";"vilafames_bib@gva.es";"Avda. Barceló  8";"Avda. Barcelo  8,12192,Vilafames,Castellon,Spain";-0.0530366;40.1130969;"avinguda barcelo, 8, 12192 vilafamés, castellón, spain"
"Agencia de Lectura Municipal de Vilanova d'Alcolea";"c/ de la Torre, 45";"12183";"Vilanova d'Alcolea";"Castellon";"Comunidad Valenciana";"Spain";"964 70 70 32";"964 70 71 52";"valcolea_ayt@gva.es";"c/ de la Torre  45";"c/ de la Torre  45,12183,Vilanova d'Alcolea,Castellon,Spain";0.0731927;40.2329809;"carrer la torre, 45, 12183 vilanova d`alcolea, castellón, spain"
"Biblioteca Auxiliar del Archivo Municipal de Castellón";"Avda. La mura, 14 , 2º";"12540";"Vila-real";"Castellon";"Comunidad Valenciana";"Spain";"964 54 72 20";"964 54 72 21";"arxiu@ajvila-real.es";"Avda. La mura  14 ";"Avda. La mura  14 ,12540,Vila-real,Castellon,Spain";-0.0993898;39.9370717;"avinguda de la mura, 14, 12540 vila-real, castellón, spain"
"Biblioteca del Paciente Hospital de la Plana";"Ctra. de Vila-Real a Burriana km.0,5";"12540";"Vila-real";"Castellon";"Comunidad Valenciana";"Spain";"964 35 76 32";"964 35 76 01";"magro_dol@gva.es";"Ctra. de Vila-Real a Burriana km.0 5";"Ctra. de Vila-Real a Burriana km.0 5,12540,Vila-real,Castellon,Spain";-0.1136387;39.9327341;"camino artana vila-real, 5, 12540 vila-real, castellón, spain"
"Biblioteca del Museo de la Ciudad - Casa Polo";"c/ Joan Fuster , 33";"12540";"Vila-real";"Castellon";"Comunidad Valenciana";"Spain";"964 53 58 59";"964 52 49 20";"museu@ajvila-real.es";"c/ Joan Fuster  33";"c/ Joan Fuster  33,12540,Vila-real,Castellon,Spain";-0.0961964;39.9399894;"carrer joan fuster, 33, 12540 vila-real, castellón, spain"
"Agencia de Lectura Municipal de Vila-Real - El Pilar";"c/ Martí L'humà, 24";"12540";"Vila-real";"Castellon";"Comunidad Valenciana";"Spain";"964 50 68 17";"";"biblioteca@ajvila-real.es";"c/ Martí L'humà  24";"c/ Marti L'huma  24,12540,Vila-real,Castellon,Spain";-0.0950668;39.9447608;"carrer martí l'humà, 24, 12540 vila-real, castellón, spain"
"Agencia de Lectura Infantil de Vila-Real - Barranquet";"c/ José Ramón Batalla, 6";"12540";"Vila-real";"Castellon";"Comunidad Valenciana";"Spain";"964 54 70 77";"";"biblioteca@ajvila-real.es";"c/ José Ramón Batalla  6";"c/ Jose Ramon Batalla  6,12540,Vila-real,Castellon,Spain";-0.1005932;39.9397706;"12540 vila-real, castellón, spain"
"Biblioteca Infantil de Vila-Real";"c/ Solades, 25, 1º";"12540";"Vila-real";"Castellon";"Comunidad Valenciana";"Spain";"964 54 72 30";"964 52 04 81";"biblioteca@ajvila-real.es";"c/ Solades  25";"c/ Solades  25,12540,Vila-real,Castellon,Spain";-0.0965589;39.938016;"carrer solades, 25, 12540 vila-real, castellón, spain"
"Biblioteca Pública Municipal de Vila-Real - Central";"c/ Solades, 25";"12540";"Vila-real";"Castellon";"Comunidad Valenciana";"Spain";"964 54 72 30";"964 52 04 81";"biblioteca@ajvila-real.es";"c/ Solades  25";"c/ Solades  25,12540,Vila-real,Castellon,Spain";-0.0965589;39.938016;"carrer solades, 25, 12540 vila-real, castellón, spain"
"Biblioteca del Centro Asociado de la UNED de Castellón en Villareal";"c/ Arrabal del Carmen, 82, Planta baja";"12540";"Vila-real";"Castellon";"Comunidad Valenciana";"Spain";"964 53 43 05";"964 52 47 74";"biblioteca@vila-real.uned.es";"c/ Arrabal del Carmen  82";"c/ Arrabal del Carmen  82,12540,Vila-real,Castellon,Spain";-0.104144;39.93498;"centro asociado de la uned en vila-real, arrabal del carmen, 82, 12540 villareal, castellon, castellón, spain"
"Biblioteca Pública Municipal de Villafranca del Cid";"Avda. Castelló, 63";"12150";"Villafranca del Cid/Vilafranca";"Castellon";"Comunidad Valenciana";"Spain";"964 44 08 14";"964 44 08 14";"info@ajuntamentdevilafranca.es";"Avda. Castelló  63";"Avda. Castello  63,12150,Villafranca del Cid/Vilafranca,Castellon,Spain";-0.2547308;40.429563;"avenida de castellón, 63, 12150 vilafranca, castellón, spain"
"Biblioteca de la Asociación Cultural Amigos de Vinaròs - Victor Carrillo";"c/ Sant Ramón, 13";"12500";"Vinaròs";"Castellon";"Comunidad Valenciana";"Spain";"964 45 27 08";"";"info@amicsdevinaros.com";"c/ Sant Ramón  13";"c/ Sant Ramon  13,12500,Vinaros,Castellon,Spain";0.4743201;40.4708784;"calle san ramón, 13, 12500 vinaròs, castellón, spain"
"Biblioteca del Decanato de Vinarós";"Avda. de la Libertad, s/n";"12500";"Vinaròs";"Castellon";"Comunidad Valenciana";"Spain";"946 45 48 18";"";"avila_cargal@gva.es";"Avda. de la Libertad  s/n";"Avda. de la Libertad  s/n,12500,Vinaros,Castellon,Spain";0.4734727;40.4742079;"avenida de la libertad, 12500 vinaròs, castellón, spain"
"Biblioteca Pública Municipal de Vinaròs";"Plz. Hort del Escribano, s/n";"12500";"Vinaròs";"Castellon";"Comunidad Valenciana";"Spain";"964 45 95 90";"964 40 77 01";"biblioteca@vinaros.org";"Plz. Hort del Escribano  s/n";"Plz. Hort del Escribano  s/n,12500,Vinaros,Castellon,Spain";0.4737094;40.4711368;"plaça l hort dels escribano, 12500 vinaròs, castellón, spain"
"Biblioteca CEFIRE de Vinaròs - Centro de Formación, Innovación y Recursos Educativos";"Avda. de la Libertad, s/n";"12500";"Vinaròs";"Castellon";"Comunidad Valenciana";"Spain";"964 45 45 52";"964 45 30 39";"direvinaros@edu.gva.es";"Avda. de la Libertad  s/n";"Avda. de la Libertad  s/n,12500,Vinaros,Castellon,Spain";0.4734727;40.4742079;"avenida de la libertad, 12500 vinaròs, castellón, spain"
"Agencia de Lectura Municipal de Viver";"Plz. Mayor, 1";"12460";"Viver";"Castellon";"Comunidad Valenciana";"Spain";"964 14 10 06";"964 14 19 53";"crisviver@hotmail.com";"Plz. Mayor  1";"Plz. Mayor  1,12460,Viver,Castellon,Spain";-0.5957498;39.921101;"plaza mayor del palancia, 1, 12460 viver, castellón, spain"
